title,vendor,ingredient_slug,platform,price_eur,dose_mg,servings,notes
Vivo Life Vitamin D3+K2,Vivo Life,other,amazon-de,29.0,0.025,150,"Vegan, Informed Sport"
Thorne Zinc Picolinate 30 mg,Thorne,other,amazon-de,28.0,30,60,"NSF Sport, hohe Bioverfügbarkeit"
Sunday Natural Zink-Gluconat,Sunday Natural,other,amazon-de,24.0,25,120,"Mit Kupfer & B6, Bio"
Thorne Selenomethionine 200 mcg,Thorne,other,amazon-de,26.0,0.2,60,NSF Sport
Sunday Natural Selen + Vitamin E,Sunday Natural,other,amazon-de,29.0,0.2,120,"Bio-Öle, kombinierte Antioxidantien"
Thorne Basic B Complex,Thorne,other,amazon-de,37.0,50,60,"Aktive B-Vitamine, NSF"
Pure Encapsulations B-Komplex Plus,Pure Encapsulations,other,amazon-de,42.0,50,60,"Aktive Formen, hypoallergen"
Life Extension BioActive Complete B-Complex,Life Extension,other,amazon-de,34.0,75,60,Quatrefolic + Benfotiamin
Vital Proteins Collagen Peptides,Vital Proteins,other,amazon-de,44.0,20000,28,"Grass-fed, NSF Certified"
Ancient Nutrition Multi Collagen Protein,Ancient Nutrition,other,amazon-de,45.0,20000,45,"Fünf Kollagenquellen, third-party getestet"
Edubily Kollagen Komplex,Edubily,other,amazon-de,38.0,12000,30,VerisoI + Vitamin C & Kupfer
Great Lakes Collagen Hydrolysate,Great Lakes,other,amazon-de,39.0,12000,38,"Glyphosat getestet, Grass-fed"
Primal State Collagen Kaffee Creamer,Primal State,other,amazon-de,32.0,10000,30,"Weidehaltung + MCT, keto"
Thorne Meriva-SF Curcumin,Thorne,other,amazon-de,56.0,500,60,"Meriva Phytosome, NSF"
Nutri & Co Curcuma BIOAktiv,Nutri & Co,other,amazon-de,36.0,520,60,"NovaSOL Curcumin, EFSA konform"
Sunday Natural Kurkuma Komplex,Sunday Natural,other,amazon-de,33.0,600,60,Bio Curcuma + Piperin
Sunday Natural Trans-Resveratrol,Sunday Natural,other,amazon-de,54.0,300,60,"98% Reinheit, laborgeprüft"
MoleQlar Resveratrol Ultra,MoleQlar,other,amazon-de,59.0,500,60,Trans-Resveratrol + Piperin
Vit4ever Resveratrol 500 mg,Vit4ever,other,amazon-de,36.0,500,90,"Labor geprüft, vegan"
Double Wood Pterostilbene 100 mg,Double Wood,other,amazon-de,38.0,100,60,"cGMP, third-party getestet"
Nootropics Depot Pterostilbene 50 mg,Nootropics Depot,other,amazon-de,42.0,50,120,COA verfügbar
MoleQlar Spermidine EVO,MoleQlar,other,amazon-de,78.0,3,60,"Weizenkeimextrakt, TÜV geprüft"
SpermidineLIFE Original 365+,Longevity Labs,other,shop-apotheke,89.0,1,30,"Klinisch geprüft, GMP"
Timeline Mitopure Softgels,Timeline,other,shop-apotheke,94.0,500,30,"Patentiertes Mitopure, klinisch getestet"
MoleQlar Urolithin A Pure,MoleQlar,other,amazon-de,78.0,500,30,"Mitopure Lizenz, TÜV"
Nootropics Depot GlyNAC Capsules,Nootropics Depot,other,amazon-de,66.0,1200,60,"1:1 Glycin + NAC, lab getestet"
Life Extension GlyNAC,Life Extension,other,amazon-de,68.0,1500,60,"Clinically dosed, Non-GMO"
Thorne Melaton-3,Thorne,other,amazon-de,18.0,3,60,NSF Sport
Natrol Melatonin 5 mg Fast Dissolve,Natrol,other,amazon-de,16.0,5,100,"USP Verified, Schnellauflösend"
Thorne Theanine 200 mg,Thorne,other,amazon-de,32.0,200,60,NSF Sport
Doctor's Best L-Theanine with Suntheanine,Doctors Best,other,amazon-de,29.0,150,90,Suntheanine Markenrohstoff
Thorne 5-HTP 100 mg,Thorne,other,amazon-de,38.0,100,60,"Griffonia simplicifolia, NSF"
Natural Elements 5-HTP,Natural Elements,other,amazon-de,27.0,200,120,"Labor geprüft, vegan"
Sunday Natural Hyaluron 600 mg,Sunday Natural,other,amazon-de,44.0,600,90,Fermentierte Hyaluronsäure + Vitamin C
Doppelherz system Hyaluron 100 mg,Doppelherz,other,shop-apotheke,29.0,100,30,"Apothekenqualität, mit Vit C"
Avmacol Sulforaphane Production System,Nutramax,other,amazon-de,42.0,34,90,"Glucoraphanin + Myrosinase, GMP"
Sunday Natural Brokkoli-Sprossen Kapseln,Sunday Natural,other,amazon-de,36.0,50,60,"Aktives Myrosinase-Enzym, Bio"
Life Extension Decaffeinated Mega Green Tea Extract,Life Extension,other,amazon-de,32.0,326,100,"98% Polyphenole, entkoffeiniert"
Sunday Natural Matcha EGCG Kapseln,Sunday Natural,other,amazon-de,35.0,300,60,"Bio Matcha, laborgeprüft"
Life Extension PQQ Caps with BioPQQ,Life Extension,other,amazon-de,39.0,20,30,"BioPQQ, cGMP"
Nootropics Depot PQQ 20 mg,Nootropics Depot,other,amazon-de,49.0,20,90,"BioPQQ, COA"
